time,bot_react_y
0,0
0.01,-56.393961810274
0.02,-112.7813005197
0.03,-168.88248107634
0.04,-224.59432811755
0.05,-279.59737786592
0.06,-333.49962161792
0.07,-385.56388883942
0.077,-420.21351756451
0.084,-452.51096857177
0.09037,-478.82651667677
0.094829,-494.77497840094
0.099288,-507.88020044267
0.10334569,-516.69723988658
0.106186073,-520.81221524943
0.1081743411,-522.52334264662
0.1101626092,-522.41362002802
0.11155439687,-520.9192674927
0.11294618454,-518.13915182898
0.114755508511,-512.0223746865
0.11640199332461,-504.36866596865
0.11804847813822,-496.14795787587
0.12018890839591,-486.35397841489
0.12297146773091,-473.97373067281
0.12550359672576,-459.55870882569
0.12674433993324,-452.21329822285
0.12798508314072,-444.46707323171
0.12911415945952,-437.27988781569
0.13024323577833,-429.86108927243
0.13127069522844,-422.77038486396
0.13229815467855,-415.51372448318
0.13363385196369,-405.40779808661
0.13484933649318,-396.06685935794
0.13606482102266,-386.72493451563
0.13717091194449,-378.50772500297
0.13827700286632,-370.73863767814
0.13971492106469,-361.39456403982
0.14158421472258,-349.47825834844
0.14328527195126,-337.85906125499
0.14498632917994,-324.48821909255
0.14668738640862,-309.68338600182
0.1478781264687,-299.86256097315
0.14906886652878,-290.58732415529
0.15061682860688,-279.1461389762
0.15262917930841,-265.4217649468
0.1544604184468,-254.8865093632
0.15629165758519,-246.1135604115
0.1586722684651,-235.99887343139
0.16083862436581,-227.2582874279
0.16300498026653,-218.99821554106
0.16582124293746,-208.4418993573
0.16838404196801,-199.39500129204
0.17094684099856,-190.84433320098
0.17427847973827,-180.25559485872
0.17661062685607,-173.54592771273
0.17894277397387,-167.36030149686
0.18197456522701,-160.07406765238
0.18591589385609,-151.81169865947
0.19103962107389,-143.04574298155
0.19770046645703,-134.15550513725
0.20635956545512,-124.96471227176
0.21635956545512,-114.84531738795
0.22335956545512,-108.41352313853
0.23035956545512,-102.72688103744
0.23945956545512,-96.261497919649
0.24945956545512,-90.349217235748
0.25945956545512,-85.518170968673
0.26945956545512,-81.550606773237
0.27945956545512,-78.083473634215
0.28945956545512,-75.165764088016
0.29945956545512,-72.676434166248
0.30945956545512,-70.419042371159
0.31945956545512,-67.610211317476
0.32945956545512,-65.197415081917
0.33945956545512,-63.051646773981
0.34945956545512,-61.298836976711
0.35945956545512,-59.720696859841
0.36945956545512,-58.188729444425
0.37945956545512,-56.833274338335
0.38645956545512,-55.858968933065
0.39345956545512,-54.944898019228
0.40255956545512,-53.902867373876
0.41255956545512,-52.920827319552
0.42255956545512,-52.088862960286
0.43255956545512,-51.345827787067
0.44255956545512,-50.184197376773
0.45255956545512,-48.973053162875
0.46255956545512,-47.891124868866
0.47255956545512,-46.94281403037
0.48255956545512,-46.100012767981
0.49255956545512,-45.348429180178
0.50255956545512,-44.673245400677
0.51255956545512,-44.065832463974
0.52255956545512,-43.516275783048
0.53255956545512,-43.019117557678
0.54255956545512,-42.570083227642
0.55255956545512,-42.161904934147
0.56255956545512,-41.789432247532
0.57255956545512,-41.451523774443
0.58255956545512,-41.14280522633
0.59255956545512,-40.854827137972
0.60255956545512,-40.521471936893
0.60424026545512,-40.4630494059
0.60541675545512,-40.421969779589
0.60694619245512,-40.368554254815
0.60893446055512,-40.299079411967
0.61151920908512,-40.201929920169
0.61410395761512,-40.101458642713
0.61668870614512,-40.001121053969
0.62004887923412,-39.8701234716
0.62340905232312,-39.735449317006
0.62676922541212,-39.581972066711
0.63012939850112,-39.432949554256
0.63348957159012,-39.285242309055
0.63654732910111,-39.15245584744
0.6396050866121,-39.02117840144
0.64358017137639,-38.851172865458
0.64755525614068,-38.682497331575
0.65272286633425,-38.466322269428
0.65789047652782,-38.252459993
0.66460836977947,-37.978624861519
0.67334163100661,-37.631941280561
0.6776209290079,-37.466926556428
0.68061643760881,-37.353759660744
0.68361194620972,-37.24209400474
0.68633785903655,-37.141656472905
0.68906377186337,-37.042582498811
0.69260745853825,-36.916787373884
0.69721425121559,-36.758082808385
0.70182104389292,-36.603028882344
0.7060132252293,-36.464870459522
0.71020540656568,-36.329529286541
0.71287582607695,-36.244926635296
0.71554624558822,-36.161744834706
0.71901779095288,-36.05713780632
0.72353079992693,-35.924159762476
0.72939771159319,-35.755501807961
0.73526462325945,-35.593046365254
0.7428916084256,-35.393013369729
0.75280668914159,-35.146972573044
0.76272176985757,-34.914120752389
0.77272176985757,-34.692684701026
0.78272176985757,-34.483807285283
0.79272176985757,-34.285712735339
0.79972176985757,-34.155826203268
0.80672176985757,-34.030965377845
0.81372176985757,-33.910743073677
0.82072176985757,-33.795667142506
0.82982176985757,-33.652224457659
0.83982176985757,-33.501826177389
0.84982176985757,-33.359039947225
0.85982176985757,-33.173956072343
0.86982176985757,-32.945468178723
0.87982176985757,-32.718042822992
0.88982176985757,-32.48126091129
0.89982176985757,-32.208678464932
0.90982176985757,-31.932140423758
0.91682176985757,-31.739613178221
0.92382176985757,-31.549237887686
0.92872176985757,-31.417435141459
0.92874503290897,-31.416814238945
0.92876131704495,-31.416379589045
0.92878248642172,-31.415814547789
0.92881000661153,-31.415079967742
0.92884578285828,-31.414124920383
0.92889229197905,-31.412882835678
0.92895275383605,-31.411267549218
0.92903135425015,-31.409166752494
0.92913353478848,-31.406436394277
0.92926636948831,-31.4028938581
0.92943905459809,-31.398286251359
0.9296635452408,-31.392294939426
0.92995538307633,-31.384516783996
0.93033477226252,-31.374401283121
0.93082797820456,-31.361259809094
0.93146914592922,-31.344177728005
0.93230266397127,-31.322009479513
0.93338623742594,-31.293179426909
0.93479488291701,-31.25572231796
0.9366261220554,-31.207081439659
0.93900673293531,-31.143961120983
0.94210152707919,-31.0619882403
0.94519632122307,-30.980160571447
0.94921955361012,-30.874159076171
0.95444975571328,-30.738673652674
0.95967995781644,-30.605904417404
0.96647922055055,-30.434804779408
0.97327848328465,-30.264770764333
0.98007774601876,-30.096406819676
0.98687700875287,-29.929670831585
0.99367627148697,-29.765884099254
1,-29.616556170918
